Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G246,5.46,52.58,7.07,2537.59,37.32,6.01,1466.24,50.8,5.99,2739.1
G247,6.15,53.08,7.44,1683.19,38,6.69,1967.3,46.43,6.63,2358.06
G248,5.12,54.52,8.49,2204.24,40.73,6.89,2090.58,43.97,7.4,3047.47
G249,6.42,45.67,6.44,1761.02,36.51,6.66,1577.87,48.29,6.23,3304.8
G250,5.06,42.5,6.45,2200.11,34.72,4.86,1562.71,44.34,5.2,1685.72
G251,5.99,49.87,8.51,1999.47,34.35,7.22,1909.4,53,6.79,2566.8
G252,5.56,53.53,7.9,2409.91,37.3,6.46,2567.67,45.47,4.06,1656.38
G253,5.08,52.27,6.1,1999.56,40.8,5.36,1495.27,57.29,5.88,2323.42
G254,6.01,63.24,8.58,2418.58,43.06,6.8,2000.33,46.27,4.36,2147.32
G255,7.06,48.61,7.57,1926.19,42.21,6.45,1995.07,52.8,5.6,2812.45
G256,7.17,43.76,7.46,1086.5,39.88,7.44,1860.47,51.83,4.93,2360.98
G257,5.4,56.21,6.95,2628.99,42.73,5.98,2037.55,53.81,5.25,2559.29
G258,5.56,44.23,5.95,1605.24,42.4,5.98,1681.19,47.69,5.2,2171.71
G259,7.03,39.71,7.08,1262.13,37.42,7.12,1314.41,49.1,6.92,2427.49
G260,7.88,46.21,7.92,1450.11,38.69,6.91,2090.12,47.42,5.18,2237.43
G261,6.47,54.52,7,1606.59,35.45,6.24,1512.62,55.73,7.89,3587.74
G262,5.01,53.18,6.99,2332.67,39.18,5.9,1578.43,53.34,5.71,2504.84
G263,6.45,47.01,7.9,1725.46,49.53,6.61,1671.25,62.45,6.93,3618.78
G264,4.02,67.49,8.46,3486.17,33.75,6.45,1738.14,54.03,4.85,2017.44
G265,3.99,61.11,6.49,1652.35,32.1,6.26,1253.44,51.19,5.87,864
G266,4.53,50.59,7.1,1189.88,31.21,7.42,1632.45,46.35,5.56,2551.33
